"name","code","population_size","date_tests_last_reported","rept_tests_within_last_6_months","days_since_tests_reported","cases_in_last_year_smoothed_truncated","tests_in_last_year_smoothed","tpr_year_smoothed_truncated","avg_daily_tests_per_1000_last_year_smoothed","cases_in_last_year","sequences_in_last_year","pct_cases_sequenced_in_last_year","sequences_per_100k_last_year","dx_testing_capacity","ngs_capacity","sequencing_capacity","sars_cov_2_sequencing","world_bank_economies","archetype"
"Heard Island and McDonald Islands","HMD",NaN,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",NaN,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Jersey","JEY",101073,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,"Insufficient data",NaN,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Montserrat","MSR",4981,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,53,12,22.64,240.915,"Insufficient data",NaN,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity",NaN,"Insufficient Data"
"Niue","NIU",-Inf,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,"Insufficient data",NaN,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Norfolk Island","NFK",NaN,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",NaN,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Pitcairn Islands","PCN",-Inf,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,NaN,"Insufficient data",NaN,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Saint Helena","SHN",6095,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,"Insufficient data",NaN,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient Data"
"Saint Pierre and Miquelon","SPM",5771,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,84,0,0,0,"Insufficient data",NaN,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Saint-Barthélemy","BLM",NaN,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",NaN,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"South Georgia and the South Sandwich Islands","SGS",NaN,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,"Insufficient data",NaN,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
"Wallis and Futuna","WLF",11094,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,450,10,2.22,90.139,"Insufficient data",NaN,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity",NaN,"Insufficient Data"
"Anguilla","AIA",15125,"No tests reported",NaN,NaN,NaN,NaN,NaN,NaN,1762,30,1.7,198.347,"Insufficient data",NaN,"0 NGS facilities or equivalent","Has demonstrated sequencing capacity",NaN,"Insufficient Data"
"Vatican City","VAT",812,"No tests reported",NaN,NaN,0,0,NaN,NaN,0,0,NaN,0,"Insufficient data",NaN,"0 NGS facilities or equivalent",NaN,NaN,"Insufficient Data"
"Western Sahara","ESH",NaN,"October 13, 2021",TRUE,83,0,3807,0,0.022375033060037,NaN,NaN,NaN,NaN,"Insufficient data",NaN,"0 NGS facilities or equivalent","Has not demonstrated sequencing capacity",NaN,"Insufficient Data"
